documentId,regulatorName,subjectName,jurisdiction,sector,field,dateOfAction,year,month,enforcementActionType,violationTypes,fineAmount,currency,enforcementNoticeUrl,enforcementNoticeData,underAppeal
13-399,Finansinspektionen,Exchange Finans Europe AB,Sweden,Banking Business,AML,2014-01-14,2014,1,"[""Authorization Withdrawn""]","[""Governance and control""]",0,N/A,https://www.fi.se/en/published/sanctions/financial-firms/2014/fi-withdraws-the-authorisation-of-exchange-finans/,"Finansinspektionen Box 7821...",FALSE
13-1784,Finansinspektionen,Nordea AB,Sweden,Banking Business,AML,2015-05-15,2015,5,"[""Warning"", ""Financial Penalty""]","[""Governance and control""]",50000000,SEK,https://www.fi.se/en/published/sanctions/financial-firms/2015/nordea-receives-a-warning-and-is-ordered-to-pay-the-maximum-administrative-fine/,"18 May 2015 DECISION...",FALSE
